Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover 
1/17/2018,1897,1902.55,1887,1891.6,1890.5,726374,13750.66
1/16/2018,1903.45,1910,1885.25,1900.1,1900.15,1611346,30609.51
1/15/2018,1869.95,1904.4,1859.85,1893.05,1897.75,3144111,59485.66
1/12/2018,1873,1878.15,1860,1865,1865.3,1084177,20258.77
1/11/2018,1864.2,1876,1856.25,1873.95,1872.55,1014774,18962.96
1/10/2018,1865.2,1867.9,1857.3,1860.45,1864.2,1153972,21505.41
1/9/2018,1862,1869.85,1855,1862.7,1863.7,1326382,24692.25
1/8/2018,1865,1870.7,1857.75,1864,1860.6,1142577,21273.31
1/5/2018,1863,1868.05,1855.55,1863.05,1863.6,717717,13368.16
1/4/2018,1853,1865.5,1853,1859.25,1859.9,593444,11041.25
1/3/2018,1875,1878.25,1851.2,1853.85,1852.65,1132822,21059.22
1/2/2018,1858.55,1875,1858.55,1869.8,1872.35,1194079,22308.59
1/1/2018,1872.7,1880.75,1850.5,1855,1854.5,1645129,30636.23
12/29/2017,1876.8,1879.2,1868.15,1871.4,1872.4,1586468,29721.2
12/28/2017,1858.9,1880.9,1858,1870.05,1878.05,2175130,40741.75
12/27/2017,1870.1,1870.3,1851.15,1852.5,1856.75,872346,16259.68
12/26/2017,1881,1882.8,1856.7,1870,1868.35,1696424,31682.35
12/22/2017,1879,1880,1861.75,1874.65,1876.65,1117726,20905.54
12/21/2017,1879.9,1885,1865.2,1866.05,1868.3,1713636,32062.88
12/20/2017,1898.9,1903.1,1863.65,1866.35,1868.15,2335876,44038.01
12/19/2017,1879.8,1893.65,1876.15,1886.95,1884.5,1238028,23324.75
12/18/2017,1855,1899,1809.3,1878.4,1878.95,3074497,57685.29
12/15/2017,1856,1888,1855.5,1871,1873.45,3112531,58444.89
12/14/2017,1824,1840,1812,1837.1,1838.05,920773,16814.97
12/13/2017,1820.05,1845,1815.1,1821.4,1821.35,726865,13317.64
12/12/2017,1849.1,1849.9,1815.95,1818,1819.9,602647,11009.01
12/11/2017,1848,1851.75,1840,1846.4,1846.4,799558,14767.75
12/8/2017,1814,1853,1814,1842.25,1840.4,2239100,41186.74
12/7/2017,1806.65,1816.6,1803.1,1810.9,1809.65,1057826,19137.37
12/6/2017,1819.95,1821.35,1799,1799.3,1803.3,1598780,28928.67
12/5/2017,1826,1828.55,1807,1824.9,1820.45,973340,17697.39
12/4/2017,1854.9,1854.9,1830.1,1836.3,1834.1,910483,16756.81
12/1/2017,1854.9,1860,1844.1,1850.85,1848.2,964537,17851.77
11/30/2017,1868.7,1873.95,1840,1852.75,1853.7,1449078,26951.22
11/29/2017,1865,1875.5,1855.8,1873,1873.3,818646,15301.43
11/28/2017,1856,1871,1855.85,1867.15,1865.35,1272635,23751.05
11/27/2017,1849,1862,1845.6,1860.15,1857.55,967618,17921.12
11/24/2017,1843,1857.8,1841,1857.5,1851.4,1300921,24045.01
11/23/2017,1859,1860,1838,1840,1842.85,808145,14932.79
11/22/2017,1849.7,1860,1844.55,1854.6,1855.25,1415199,26236.29
11/21/2017,1837.45,1850,1836.1,1848,1846.25,568883,10498.23
11/20/2017,1829,1839.7,1829,1836.05,1838.15,598106,10981.71
11/17/2017,1828.7,1838.3,1813.15,1822,1825.55,1589693,29055.09
11/16/2017,1804,1816,1795.2,1812.95,1807.7,1003243,18130.89
11/15/2017,1798,1803.65,1788,1799.25,1800.25,1537092,27611.83
11/14/2017,1815.9,1819,1800,1801.35,1802.35,1178117,21275.14
11/13/2017,1822,1823.15,1795,1814.25,1813.55,833968,15068.88
11/10/2017,1821.7,1834.8,1812.35,1823.95,1822,1936090,35268.48
11/9/2017,1827,1835,1821.1,1834,1827.85,778327,14214.24
11/8/2017,1825.2,1833.6,1819,1822.6,1825.95,820786,14989.35
11/7/2017,1838,1844.95,1820.75,1825,1823.7,1861594,34042.34
11/6/2017,1825,1840,1822.6,1828,1828.6,1537061,28178.48
11/3/2017,1825.7,1840,1821.6,1830,1830.7,952622,17432.53
11/2/2017,1823,1829.8,1816.95,1820,1822.1,1184486,21581.98
11/1/2017,1815.1,1825,1812,1822.5,1821.2,1047653,19059.91
10/31/2017,1811.5,1811.5,1799.25,1809.45,1808.5,1170615,21131.93
10/30/2017,1798.25,1816,1792.4,1815.75,1815,1355588,24475.03
10/27/2017,1804.4,1807.5,1779,1787.9,1791.05,1868022,33491.09
10/26/2017,1768,1810,1757.85,1791.7,1795.35,7142866,127799.64
10/25/2017,1860,1863,1785,1795.15,1795.1,5341802,96192.2
10/24/2017,1863,1879.6,1853,1866.55,1867.1,2832218,52852.45
10/23/2017,1859.9,1869.7,1836.05,1865.85,1863.3,1040723,19263.73
10/19/2017,1861.8,1865,1840.65,1845,1848.4,142502,2641.95
10/18/2017,1841,1875,1839,1866.25,1868.5,981680,18300.9
10/17/2017,1850,1853.7,1839.1,1848.95,1851.25,653322,12076.83
10/16/2017,1860,1873.25,1842,1854.15,1857.15,818636,15203.8
10/13/2017,1826.7,1856.55,1822,1848.9,1850.8,1608366,29689.02
10/12/2017,1795.1,1821.45,1788,1820,1818.8,1345390,24289.9
10/11/2017,1803.25,1815.25,1787.6,1789,1790.15,1316860,23730.17
